No,Kabupaten / Kota,X1 (Listrik),X2 (Sinyal),X3 (Internet),X4 (Guru),X5 (IPM)
1,Kota Kupang,1.000,1.000,1.000,1.000,1.000
2,Kab. Rote Ndao,0.938,0.535,0.339,0.347,0.096
3,Kab. Sikka,0.882,0.819,0.648,0.577,0.208
4,Kab. Ende,0.869,0.779,0.581,0.562,0.290
5,Kab. Flores Timur,0.827,0.766,0.606,0.543,0.191
6,Kab. Ngada,0.814,0.750,0.689,0.643,0.283
7,Kab. Nagekeo,0.785,0.674,0.555,0.513,0.238
8,Kab. Manggarai Barat,0.778,0.762,0.633,0.549,0.176
9,Kab. Manggarai,0.730,0.616,0.480,0.500,0.209
10,Kab. Lembata,0.685,0.641,0.430,0.409,0.224
11,Kab. Belu,0.633,0.708,0.519,0.498,0.134
12,Kab. Sabu Raijua,0.624,0.194,0.088,0.117,0.033
13,Kab. Kupang,0.540,0.646,0.387,0.432,0.205
14,Kab. Alor,0.495,0.590,0.347,0.364,0.068
15,Kab. TTU,0.427,0.471,0.296,0.323,0.143
16,Kab. Malaka,0.375,0.414,0.222,0.281,0.000
17,Kab. TTS,0.307,0.327,0.170,0.245,0.082
18,Kab. Sumba Barat,0.246,0.415,0.260,0.217,0.146
19,Kab. Manggarai Timur,0.214,0.294,0.193,0.209,0.068
20,Kab. Sumba Timur,0.172,0.367,0.217,0.279,0.243
21,Kab. Sumba Barat Daya,0.114,0.246,0.130,0.160,0.101
22,Kab. Sumba Tengah,0.000,0.000,0.000,0.000,0.035
